ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,BILL_AMT1
5634,410000,1,2,1,45,278405
5635,170000,2,3,2,42,77795
5636,230000,2,1,1,37,89299
5637,210000,2,2,2,42,1631
5638,2.00E+05,1,2,2,29,7468
5639,50000,2,1,2,25,43099
5640,130000,1,2,2,42,83521
5641,210000,1,2,2,34,24708
5642,130000,2,2,2,42,42946
5643,80000,2,2,2,41,66053
5644,360000,2,2,1,49,15000
5645,5.00E+05,1,1,1,42,9615
5646,60000,2,2,1,53,390
5647,160000,2,2,2,26,8218
5648,50000,2,2,2,22,47076
5649,50000,1,3,1,33,19374
5650,360000,1,1,2,36,256324
5651,30000,2,2,2,38,0
5652,20000,2,2,2,27,226
5653,360000,2,1,1,32,37736
5654,50000,2,1,2,28,6608
5655,460000,2,1,1,43,7677
5656,20000,1,2,2,24,19318
5657,330000,1,2,1,39,0
5658,2.00E+05,2,3,1,29,0
5659,50000,2,2,1,38,50965
5660,50000,2,2,1,24,7052
5661,50000,1,2,2,24,0
5662,270000,2,2,1,42,1138
5663,2.00E+05,2,2,1,33,7770
5664,3.00E+05,2,2,2,28,199801
5665,50000,2,1,2,26,0
5666,250000,2,3,1,55,296963
5667,4.00E+05,1,1,2,33,201800
5668,360000,2,1,2,27,119138
5669,120000,2,2,1,29,122842
5670,50000,2,2,1,49,19169
5671,340000,2,2,1,40,0
5672,180000,1,2,2,29,98535
5673,50000,2,1,2,23,0
5674,150000,1,2,2,37,111880
5675,1.00E+05,2,2,1,41,97031
5676,2.00E+05,2,2,2,28,0
5677,160000,1,2,2,43,8460
5678,50000,1,3,1,55,44258
5679,150000,2,2,1,40,40548
5680,50000,2,3,1,52,0
5681,220000,2,2,2,36,126695
5682,30000,2,2,1,23,11851
5683,30000,2,2,1,26,25369
5684,50000,2,3,2,57,18599
5685,160000,2,2,2,35,25590
5686,180000,1,1,2,31,0
5687,190000,1,1,1,31,158416
5688,480000,2,1,1,39,106660
5689,270000,2,1,2,32,25343
5690,2.00E+05,1,2,2,37,162
5691,80000,1,1,2,38,780
5692,410000,1,2,1,36,3827
5693,50000,2,1,2,25,2823
5694,50000,2,3,2,42,2389
5695,210000,1,1,1,39,980
5696,20000,1,1,2,28,16196
5697,150000,2,1,2,28,109835
5698,130000,2,1,2,25,2576
5699,2.00E+05,2,1,2,26,121830
5700,110000,2,2,2,23,106963
5701,180000,2,1,1,30,2743
5702,3.00E+05,2,1,1,40,10920
5703,360000,1,1,2,32,27
5704,380000,2,2,1,30,3745
5705,360000,2,1,2,29,2868
5706,80000,1,1,2,28,8598
5707,350000,2,1,3,48,181212
5708,20000,2,5,1,28,21501
5709,320000,2,1,2,35,227927
5710,90000,1,3,1,62,86200
5711,40000,2,1,2,27,32540
5712,50000,2,2,1,40,46616
5713,210000,2,1,2,24,4055
5714,30000,2,2,2,22,30078
5715,310000,2,1,2,27,0
5716,280000,2,2,2,35,1616
5717,280000,2,1,1,41,99755
5718,260000,2,1,2,33,1381
5719,90000,1,2,1,41,0
5720,280000,1,1,1,49,11797
5721,360000,2,3,2,34,2500
5722,30000,2,3,2,27,13257
5723,380000,1,2,1,48,379080
5724,80000,2,2,2,22,42080
5725,50000,2,1,2,25,45708
5726,280000,2,1,1,37,449
5727,120000,2,2,3,37,26446
5728,180000,1,1,1,49,63444
5729,380000,1,3,2,33,2989
5730,110000,2,1,2,27,30961
5731,50000,2,2,3,37,1149
5732,2.00E+05,2,1,2,48,0
5733,2.00E+05,1,1,1,44,25929
5734,150000,2,1,1,35,27329
5735,60000,1,2,1,40,58078
5736,2.00E+05,2,2,2,30,155768
5737,90000,2,2,1,35,63426
5738,150000,2,1,2,32,1758
5739,20000,1,3,2,23,9126
5740,150000,2,3,1,34,112391
5741,180000,1,1,2,34,16953
5742,470000,1,2,2,34,23747
5743,30000,2,3,2,59,21767
5744,20000,2,1,2,22,8266
5745,4.00E+05,2,1,1,36,14421
5746,210000,2,1,2,27,15663
5747,120000,1,3,1,38,77468
5748,160000,2,4,1,42,0
5749,2.00E+05,2,1,2,26,6242
5750,160000,2,1,2,30,9640
5751,160000,2,2,2,37,147333
5752,250000,1,3,1,51,179
5753,140000,1,3,1,56,7272
5754,330000,2,2,2,30,0
5755,220000,2,1,2,24,161081
5756,30000,2,3,1,29,13164
5757,260000,1,1,2,35,149124
5758,380000,2,2,1,30,295543
5759,10000,2,2,2,33,15004
5760,190000,2,1,2,44,181045
5761,30000,2,2,1,38,23819
5762,3.00E+05,2,1,1,39,6077
5763,20000,1,2,1,27,17062
5764,20000,1,2,1,35,17584
5765,80000,2,3,2,22,37990
5766,240000,1,2,1,33,225312
5767,90000,2,3,2,26,14692
5768,1.00E+05,2,2,1,43,98944
5769,320000,1,1,3,32,802
5770,360000,1,2,1,45,2500
5771,180000,1,2,1,38,2826
5772,3.00E+05,1,2,1,40,15876
5773,20000,2,1,2,22,0
5774,270000,2,2,2,26,29951
5775,20000,2,3,2,49,19437
5776,360000,2,2,1,35,39685
5777,120000,1,2,1,38,50441
5778,130000,2,3,2,27,129150
5779,60000,2,3,2,45,54920
5780,60000,1,2,1,36,46064
5781,120000,2,3,2,31,1769
5782,130000,1,3,2,33,92457
5783,360000,2,1,1,31,460
5784,10000,1,3,2,24,6217
5785,120000,2,1,2,24,600
5786,60000,1,2,2,26,61103
5787,240000,2,1,1,40,2500
5788,160000,2,2,1,40,137695
5789,2.00E+05,2,2,1,44,0
5790,3.00E+05,1,1,2,29,0
5791,1.00E+05,2,2,2,26,780
5792,280000,2,1,1,30,217773
5793,190000,2,2,2,26,11613
5794,50000,1,2,1,48,17613
5795,210000,2,3,1,33,31570
5796,120000,2,1,2,26,110934
5797,140000,2,1,2,33,1825
5798,50000,2,1,2,23,807
5799,150000,2,1,2,31,2005
5800,50000,1,1,2,23,27101
5801,120000,1,1,1,50,0
5802,240000,2,1,2,29,30380
5803,20000,1,1,2,26,1490
5804,80000,2,2,2,24,78913
5805,140000,2,2,1,28,99296
5806,50000,2,2,2,25,28428
5807,150000,2,2,3,26,4181
5808,90000,2,3,1,53,65237
5809,640000,1,1,2,36,192325
5810,360000,1,1,2,31,15285
5811,130000,2,2,1,33,2454
5812,210000,2,1,1,34,201324
5813,190000,1,1,2,36,107689
5814,150000,2,1,1,44,1365
5815,10000,1,3,2,25,3161
5816,30000,2,1,1,24,9280
5817,2.00E+05,1,1,1,67,0
5818,140000,2,1,2,25,21593
5819,170000,2,2,2,30,121009
5820,20000,2,2,2,24,6270
5821,80000,2,2,1,45,82150
5822,110000,1,2,1,49,51803
5823,150000,2,1,2,28,147933
5824,50000,2,2,2,43,26342
5825,50000,2,3,1,70,54084
5826,50000,1,3,1,50,48607
5827,10000,2,2,2,22,2274
5828,280000,2,1,2,38,17878
5829,50000,1,2,2,42,51614
5830,10000,2,1,2,22,9397
5831,140000,2,2,1,28,131292
5832,140000,1,1,1,34,104651
5833,3.00E+05,1,1,1,45,193462
5834,30000,2,2,1,26,27330
5835,2.00E+05,1,3,1,47,185272
5836,270000,2,2,2,26,33224
5837,90000,2,2,3,36,91458
5838,10000,1,2,2,26,2400
5839,50000,2,3,2,22,22719
5840,80000,2,1,2,25,0
5841,110000,2,2,2,26,65800
5842,370000,1,1,2,30,6592
5843,50000,1,2,2,23,1678
5844,10000,1,2,2,37,885
5845,180000,2,1,2,27,99137
5846,60000,2,2,1,59,56998
5847,90000,2,1,1,43,58043
5848,120000,2,1,1,30,0
5849,110000,1,1,2,30,110800
5850,280000,2,3,1,61,162734
5851,2.00E+05,1,1,2,28,7464
5852,130000,1,2,2,29,62530
5853,2.00E+05,2,2,2,28,61844
5854,50000,2,2,2,26,29356
5855,30000,1,3,1,53,1596
5856,230000,2,1,1,30,13995
5857,180000,2,1,2,31,3920
5858,220000,1,1,1,40,129597
5859,50000,1,1,2,46,51400
5860,20000,1,1,2,27,0
5861,250000,2,2,2,40,2348
5862,50000,1,3,2,41,47384
5863,180000,2,2,2,26,10874
5864,320000,1,2,2,44,36831
5865,10000,2,3,1,41,780
5866,320000,2,1,2,31,1345
5867,250000,1,2,2,30,170559
5868,30000,1,2,2,24,20985
5869,260000,1,2,2,31,326
5870,130000,2,2,1,37,122944
5871,180000,2,1,1,30,149069
5872,270000,2,1,2,27,200750
5873,80000,2,3,2,30,36676
5874,30000,2,1,2,27,418
5875,1.00E+05,1,3,1,35,101326
5876,340000,2,2,2,33,336190
5877,210000,2,2,1,26,207033
5878,280000,2,1,2,27,0
5879,710000,1,2,2,33,8471
5880,50000,2,2,2,23,42790
5881,190000,1,1,2,35,24873
5882,4.00E+05,2,1,2,32,48419
5883,110000,2,3,1,53,1457
5884,20000,2,2,1,23,16219
5885,20000,2,1,2,25,18446
5886,20000,2,2,1,29,12186
5887,20000,1,2,2,23,4673
5888,230000,2,1,2,43,39677
5889,180000,1,2,1,37,14480
5890,280000,1,2,1,41,3520
5891,510000,2,1,2,36,234900
5892,150000,1,2,1,40,141697
5893,20000,1,3,2,26,17880
5894,110000,2,3,1,38,100699
5895,230000,2,1,2,34,907
5896,180000,2,1,2,27,124501
5897,230000,2,3,2,36,13809
5898,370000,2,1,2,35,40229
5899,5.00E+05,2,1,2,30,1078
5900,260000,2,2,1,43,0
5901,80000,1,2,1,53,5800
5902,140000,2,2,2,27,118013
5903,50000,1,1,2,30,29994
5904,50000,2,2,1,45,26615
5905,80000,1,1,2,32,4055
5906,150000,2,2,2,28,85118
5907,50000,2,2,1,46,49859
5908,80000,1,2,3,39,76123
5909,140000,2,1,1,40,67371
5910,140000,2,1,2,30,105732
5911,50000,2,2,2,24,1580
5912,30000,2,2,2,24,25111
5913,230000,1,2,2,32,171111
5914,150000,2,2,2,26,94347
5915,2.00E+05,2,2,1,53,5059
5916,110000,2,1,1,41,150
5917,150000,2,2,1,44,17723
5918,2.00E+05,2,3,1,46,1207
5919,180000,2,3,2,33,0
5920,90000,2,1,2,29,6146
5921,2.00E+05,2,1,2,30,105
5922,230000,2,2,1,45,107
5923,80000,1,1,2,29,17562
5924,230000,2,1,2,33,6283
5925,340000,2,2,2,31,581775
5926,290000,2,2,1,53,1538
5927,60000,2,3,1,41,55773
5928,320000,2,1,2,29,12130
5929,2.00E+05,2,2,2,25,22701
5930,50000,2,3,1,54,16648
5931,50000,1,3,2,24,27226
5932,230000,2,2,1,43,84821
5933,130000,2,1,2,29,106271
5934,80000,2,3,1,39,715
5935,120000,2,1,2,31,82683
5936,2.00E+05,2,2,1,34,4798
5937,3.00E+05,1,3,2,34,4741
5938,2.00E+05,2,2,1,36,1070
5939,80000,2,2,1,46,34494
5940,80000,2,3,2,32,0
5941,60000,2,1,2,25,51907
5942,30000,2,2,1,30,25156
5943,3.00E+05,2,2,1,42,38913
5944,1.00E+05,2,1,1,38,66762
5945,290000,2,1,2,31,44193
5946,270000,1,0,2,39,0
5947,70000,2,2,2,24,7033
5948,90000,2,2,1,24,91272
5949,170000,2,1,2,26,108426
5950,80000,2,2,1,36,69760
5951,1.00E+05,2,2,1,41,95326
5952,240000,1,1,1,47,5731
5953,290000,2,1,1,41,11200
5954,120000,2,1,2,27,0
5955,2.00E+05,1,2,2,26,103194
5956,20000,1,2,2,22,13447
5957,5.00E+05,1,1,1,38,75433
5958,1.00E+05,2,2,2,25,98349
5959,350000,1,1,1,55,5961
5960,50000,2,2,2,24,34069
5961,340000,2,2,1,52,331508
5962,180000,2,2,1,29,26000
5963,3.00E+05,2,1,1,54,1080
5964,220000,2,1,1,32,17325
5965,80000,1,1,2,26,56417
5966,50000,2,2,1,32,44751
5967,1.00E+05,1,2,2,26,60077
5968,2.00E+05,1,1,2,27,58725
5969,480000,2,1,1,45,17976
5970,170000,2,2,1,34,35348
5971,20000,2,1,2,25,15790
5972,80000,1,2,1,28,32114
5973,80000,1,1,2,26,79650
5974,3.00E+05,1,2,1,31,250121
5975,150000,1,1,2,29,1934
5976,50000,2,2,2,24,14814
5977,50000,2,2,1,26,1902
5978,1.00E+05,2,3,2,28,99627
5979,90000,2,2,1,45,37453
5980,70000,2,1,2,24,15932
5981,90000,2,5,2,23,83176
5982,4.00E+05,1,1,1,42,34084
5983,10000,1,2,2,36,7393
5984,80000,1,1,2,27,72565
5985,70000,1,1,2,33,63845
5986,1.00E+05,1,3,1,44,30076
5987,210000,2,2,1,33,1971
5988,360000,2,3,2,39,0
5989,280000,1,1,1,28,285249
5990,180000,1,1,2,32,85040
5991,220000,1,1,1,45,157122
5992,2.00E+05,1,1,2,47,696
5993,130000,2,2,2,25,52180
5994,2.00E+05,1,2,1,47,389
5995,170000,2,1,1,44,29940
5996,140000,1,1,2,30,22778
5997,50000,2,3,1,54,50318
5998,2.00E+05,2,3,2,26,22629
5999,2.00E+05,1,3,2,33,181542
6000,360000,2,3,1,36,150527
6001,50000,1,2,1,33,13538
6002,5.00E+05,2,1,2,37,6364
6003,90000,2,2,2,30,75382
6004,5.00E+05,1,1,2,36,2450
6005,80000,2,3,1,33,78428
6006,230000,1,3,1,53,2150
6007,120000,2,1,2,30,416
6008,190000,2,3,1,56,67211
6009,5.00E+05,1,2,1,50,265803
6010,80000,2,2,1,42,0
6011,450000,2,1,2,35,0
6012,280000,2,1,1,30,0
6013,360000,2,3,1,47,1458
6014,30000,2,2,2,21,28871
6015,50000,2,2,1,25,35676
6016,60000,2,2,1,49,0
6017,30000,2,2,1,28,8618
6018,20000,1,2,1,49,16348
6019,20000,1,3,3,57,20442
6020,2.00E+05,1,1,1,43,43272
6021,1.00E+05,2,1,2,25,0
6022,3.00E+05,2,3,1,39,1117
6023,210000,2,1,2,39,0
6024,70000,2,3,1,71,64670
6025,210000,2,2,2,29,1767
6026,440000,1,1,1,31,274263
6027,410000,1,1,2,33,4111
6028,110000,1,1,1,36,104498
6029,2.00E+05,2,1,2,36,120869
6030,180000,2,3,1,42,2069
6031,150000,2,1,1,46,21787
6032,330000,2,1,2,33,0
6033,5.00E+05,2,2,1,41,8938
6034,350000,2,2,1,35,83379
6035,2.00E+05,2,2,1,36,473
6036,280000,1,1,1,45,2270
6037,80000,2,3,1,39,5280
6038,280000,2,1,2,29,4356
6039,130000,2,2,2,23,115978
6040,160000,2,2,1,49,76445
6041,20000,2,2,2,23,2400
6042,3.00E+05,2,2,2,32,26575
6043,1.00E+05,2,1,2,32,93724
6044,130000,1,2,1,38,780
6045,5.00E+05,1,1,1,55,4957
6046,2.00E+05,2,2,1,27,183994
6047,360000,2,1,2,30,70701
6048,20000,2,2,1,26,0
6049,4.00E+05,1,2,2,29,21092
6050,2.00E+05,2,3,1,52,203385
6051,30000,2,5,1,60,19282
6052,30000,1,2,1,58,2450
6053,50000,1,2,1,55,44306
6054,230000,2,1,1,51,986
6055,210000,2,1,1,36,0
6056,50000,2,1,2,49,150
6057,170000,2,5,1,33,143737
6058,230000,1,1,1,44,815
6059,230000,2,1,2,48,161083
6060,350000,2,1,1,36,352032
6061,170000,2,1,2,36,248
6062,150000,2,2,1,36,137723
6063,90000,2,2,1,27,1767
6064,320000,2,1,2,33,0
6065,120000,2,2,2,45,92000
6066,20000,2,3,1,56,12864
6067,280000,2,1,1,41,280
6068,90000,2,2,2,28,81553
6069,450000,1,1,1,30,25244
6070,270000,1,2,2,27,144376
6071,80000,2,2,1,41,74228
6072,230000,2,2,1,41,166988
6073,50000,2,2,1,30,416
6074,250000,1,1,1,48,205323
6075,220000,2,1,2,42,26340
6076,30000,2,1,1,38,26460
6077,120000,1,2,2,68,125406
6078,1.00E+05,2,2,2,26,22320
6079,150000,2,1,2,25,147260
6080,670000,1,1,2,28,88612
6081,2.00E+05,1,1,1,36,8065
6082,70000,2,3,1,47,71392
6083,50000,2,2,1,41,15910
6084,80000,2,2,2,64,74037
6085,10000,1,1,2,23,1050
6086,140000,2,1,1,37,124375
6087,30000,2,2,2,21,17444
6088,2.00E+05,1,2,2,36,99483
6089,90000,2,2,2,24,26928
6090,130000,2,2,1,52,112434
6091,160000,2,2,2,26,8036
6092,150000,2,3,1,58,42218
6093,150000,2,1,2,34,1198
6094,20000,1,1,2,24,3302
6095,80000,2,1,2,26,666
6096,460000,1,2,1,31,120430
6097,60000,2,3,1,40,749
6098,50000,1,2,1,38,49695
6099,2.00E+05,2,3,1,35,188096
6100,60000,2,2,1,30,59533
6101,2.00E+05,1,1,1,31,58008
6102,230000,1,1,1,33,218094
6103,50000,1,2,1,38,25809
6104,60000,2,3,2,51,56793
6105,180000,1,2,1,47,1473
6106,50000,2,2,1,47,50732
6107,150000,1,3,1,62,0
6108,140000,2,2,1,36,326
6109,120000,1,1,1,35,114127
6110,2.00E+05,2,1,1,39,193162
6111,5.00E+05,1,1,2,31,0
6112,120000,2,2,1,36,117922
6113,5.00E+05,1,1,2,28,17155
6114,50000,2,3,2,23,47333
6115,30000,2,3,2,51,17261
6116,240000,1,1,1,35,2007
6117,170000,2,2,1,37,0
6118,80000,1,1,2,26,74384
6119,360000,1,1,2,29,2273
6120,50000,2,2,2,24,20632
6121,70000,2,2,1,27,76062
6122,250000,2,2,1,29,128413
6123,150000,2,1,1,39,80762
6124,1.00E+05,2,2,1,41,390
6125,360000,1,1,2,32,0
6126,30000,2,3,1,47,6911
6127,490000,1,1,1,29,115
6128,180000,2,2,1,60,178854
6129,420000,2,1,1,36,0
6130,20000,1,1,2,33,16339
6131,480000,1,1,1,47,69046
6132,350000,1,1,2,27,21872
6133,360000,1,2,1,57,0
6134,240000,2,1,2,27,3293
6135,280000,2,1,2,30,29989
6136,150000,2,2,1,39,32891
6137,320000,1,2,2,30,29668
6138,20000,2,2,2,22,631
6139,50000,2,3,1,36,45260
6140,280000,1,1,2,33,275487
6141,450000,2,2,1,53,2542
6142,260000,2,1,2,53,235073
6143,5.00E+05,1,1,1,56,87161
6144,470000,1,1,2,35,393780
6145,150000,2,2,2,23,15952
6146,1.00E+05,2,3,1,46,91983
6147,1.00E+05,1,1,2,38,24796
6148,220000,1,2,2,39,3553
6149,3.00E+05,2,1,2,37,34085
6150,230000,2,1,2,31,0
6151,3.00E+05,2,3,2,39,0
6152,50000,1,3,2,48,79681
6153,170000,1,3,1,47,1521
6154,460000,1,1,1,41,5383
6155,30000,2,1,2,34,24022
6156,30000,2,1,2,24,165
6157,20000,1,2,1,42,21431
6158,220000,1,3,1,44,380
6159,70000,2,1,1,62,69926
6160,330000,2,2,2,40,131096
6161,370000,1,1,1,40,0
6162,230000,1,1,2,28,23855
6163,50000,1,3,1,49,40281
6164,360000,1,2,2,31,281600
6165,390000,2,2,2,37,324452
6166,360000,2,2,3,42,429169
6167,30000,2,2,1,27,10011
6168,5.00E+05,1,1,1,33,2907
6169,120000,2,3,2,32,67876
6170,360000,1,1,2,29,0
6171,20000,2,2,1,27,19961
6172,50000,2,2,1,48,5994
6173,230000,2,1,2,27,0
6174,160000,2,1,1,48,0
6175,110000,2,1,1,32,114430
6176,50000,1,2,2,25,32233
6177,30000,1,3,2,28,22323
6178,50000,1,2,2,35,57570
6179,240000,2,3,1,37,0
6180,90000,1,3,2,29,83683
6181,150000,2,1,1,29,598
6182,1.00E+05,2,2,1,35,61089
6183,70000,2,1,2,24,26410
6184,430000,2,2,2,27,263
6185,150000,1,1,2,31,64378
6186,50000,1,1,2,48,53540
6187,2.00E+05,1,1,2,33,0
6188,150000,2,2,1,28,19946
6189,50000,1,2,2,25,5832
6190,3.00E+05,1,1,2,31,16772
6191,50000,2,2,1,44,45578
6192,30000,1,1,2,30,0
6193,380000,1,1,1,53,0
6194,70000,2,1,1,45,69794
6195,360000,1,2,2,28,19390
6196,50000,1,2,2,41,41993
6197,20000,2,1,2,30,11730
6198,80000,2,2,2,27,80088
6199,30000,1,2,1,49,12855
6200,50000,2,3,2,55,51682
6201,30000,2,3,1,37,26411
6202,260000,1,1,1,38,10448
6203,210000,2,2,1,39,44100
6204,2.00E+05,2,1,2,29,7523
6205,50000,1,1,1,56,5433
6206,490000,1,3,1,28,108157
6207,170000,1,1,1,45,3479
6208,5.00E+05,1,1,2,29,15732
6209,220000,1,2,1,46,157646
6210,150000,2,1,2,30,141330
6211,50000,2,2,1,34,44654
6212,50000,1,2,1,52,46436
6213,1.00E+05,2,1,2,26,91857
6214,310000,2,2,2,25,28598
6215,510000,2,1,1,35,62382
6216,2.00E+05,1,2,1,41,11201
6217,50000,1,3,1,43,7978
6218,3.00E+05,2,1,2,38,10361
6219,450000,2,1,1,40,0
6220,30000,1,2,2,27,3902
6221,60000,2,1,2,27,836
6222,140000,2,2,2,23,25621
6223,50000,2,2,2,32,36211
6224,90000,2,3,2,28,86493
6225,190000,2,2,1,34,138628
6226,150000,2,1,2,29,147331
6227,390000,2,2,2,28,19081
6228,30000,1,3,1,47,28923
6229,240000,1,1,1,60,184427
6230,260000,2,1,2,29,470
6231,30000,1,3,2,25,10198
6232,5.00E+05,2,1,2,28,58076
6233,60000,2,2,2,29,41387
6234,2.00E+05,1,3,1,30,144933
6235,80000,1,2,1,31,70664
6236,1.00E+05,2,2,2,30,0
6237,380000,1,1,1,42,4377
6238,210000,1,2,1,30,32903
6239,10000,1,2,2,27,8257
6240,5.00E+05,1,2,1,44,91718
6241,240000,2,1,1,37,118402
6242,270000,1,1,2,29,227479
6243,50000,1,2,2,25,21006
6244,120000,2,1,2,36,84171
6245,280000,1,1,2,28,281663
6246,260000,2,1,2,28,126418
6247,360000,1,1,1,38,7975
6248,210000,2,1,2,30,0
6249,390000,1,1,2,29,9918
6250,40000,1,2,1,36,34871
6251,10000,2,2,2,27,6691
6252,120000,2,2,1,43,0
6253,2.00E+05,1,3,1,43,1435
6254,80000,2,2,1,37,1480
6255,60000,2,2,2,27,12193
6256,130000,2,2,2,39,50033
6257,1.00E+05,2,2,2,29,17848
6258,20000,1,2,1,45,3213
6259,460000,1,1,2,34,45358
6260,80000,1,2,2,32,82212
6261,80000,1,1,2,26,74487
6262,240000,2,1,2,28,209848
6263,2.00E+05,2,3,1,38,97584
6264,230000,1,2,2,29,200
6265,260000,2,1,1,53,827
6266,90000,2,2,1,38,88758
6267,320000,1,2,2,29,324693
6268,280000,2,2,1,47,231181
6269,120000,1,2,2,29,87376
6270,4.00E+05,2,1,2,27,140
6271,50000,2,1,1,55,25043
6272,10000,2,1,2,23,2400
6273,70000,1,2,2,26,69900
6274,210000,1,1,1,30,65600
6275,140000,2,2,1,39,1007
6276,290000,1,2,1,50,929
6277,30000,1,3,1,32,28292
6278,110000,2,1,2,32,58679
6279,20000,2,3,2,54,9777
6280,220000,2,2,1,36,136556
6281,180000,2,2,1,36,682
6282,30000,1,1,2,26,25899
6283,50000,2,2,2,31,0
6284,150000,1,3,1,29,38675
6285,150000,2,1,2,32,30697
6286,140000,1,3,2,30,84014
6287,80000,2,2,1,48,79518
6288,2.00E+05,2,1,1,33,105775
6289,4.00E+05,1,1,1,44,4482
6290,130000,2,2,1,28,135805
6291,50000,2,2,2,22,38604
6292,190000,1,2,1,51,86713
6293,470000,2,1,2,40,17243
6294,280000,1,1,1,55,2326
6295,460000,2,1,2,26,18738
6296,340000,2,2,2,32,169246
6297,110000,1,2,2,27,103550
6298,440000,2,2,2,27,25154
6299,90000,2,2,2,23,3440
6300,70000,2,2,2,24,63912
6301,30000,2,2,2,24,7134
6302,120000,2,2,2,49,3903
6303,3.00E+05,2,2,2,27,12752
6304,60000,2,1,2,25,16313
6305,180000,1,2,2,36,100
6306,30000,2,1,2,43,17775
6307,360000,1,1,2,35,15798
6308,150000,1,1,1,49,15472
6309,70000,2,1,2,28,20335
6310,150000,2,2,1,44,61951
6311,440000,2,1,1,33,0
6312,5.00E+05,1,1,1,52,0
6313,260000,1,2,2,29,263943
6314,360000,1,1,2,29,0
6315,140000,1,1,2,28,132880
6316,10000,1,1,2,24,4216
6317,2.00E+05,2,1,2,32,2580
6318,210000,1,2,1,35,128595
6319,20000,1,2,2,27,13747
6320,240000,1,1,1,44,4221
6321,30000,1,2,2,51,26551
6322,450000,2,2,1,38,10972
6323,60000,2,3,2,40,24496
6324,1.00E+05,2,2,2,30,58335
6325,5.00E+05,1,1,1,49,12939
6326,50000,1,3,1,51,636
6327,80000,2,2,1,35,997
6328,20000,2,2,2,22,5743
6329,5.00E+05,1,1,2,43,141323
6330,140000,2,1,2,31,71066
6331,5.00E+05,2,2,2,29,455042
6332,50000,1,2,2,24,43247
6333,170000,1,1,1,60,170359
6334,220000,2,2,1,44,136838
6335,70000,2,2,1,33,63963
6336,360000,2,2,2,34,122193
6337,430000,2,1,2,29,34785
6338,20000,1,3,2,26,20155
6339,2.00E+05,2,3,2,53,784
6340,2.00E+05,2,2,3,35,1992
6341,80000,2,2,2,25,78401
6342,130000,1,1,1,35,77578
6343,150000,1,1,1,49,6338
6344,150000,1,3,1,53,17790
6345,190000,2,2,2,27,4686
6346,450000,2,2,2,36,0
6347,80000,2,2,1,31,390
6348,260000,2,2,2,31,82274
6349,80000,1,1,2,34,62423
6350,5.00E+05,1,1,1,39,0
6351,260000,1,1,1,43,76
6352,260000,2,1,2,30,94114
6353,50000,1,1,2,33,24947
6354,360000,2,1,1,46,0
6355,170000,2,1,2,53,0
6356,120000,2,2,1,34,0
6357,50000,2,2,1,26,5195
6358,50000,2,1,1,40,465
6359,310000,1,1,1,48,29662
6360,50000,1,1,2,27,17541
6361,140000,2,2,2,32,121508
6362,1.00E+05,2,2,1,28,73073
6363,20000,1,3,2,32,19844
6364,120000,2,1,2,27,11379
6365,30000,2,3,1,59,28170
6366,20000,1,3,1,27,20184
6367,160000,2,2,2,27,0
6368,180000,2,2,1,37,0
6369,40000,2,1,2,26,20936
6370,80000,2,2,1,34,49005
6371,120000,1,2,2,31,113722
6372,20000,2,2,2,22,2480
6373,20000,1,2,2,33,18271
6374,1.00E+05,1,1,1,52,101762
6375,5.00E+05,1,1,2,45,0
6376,80000,2,2,1,29,78293
6377,150000,2,1,2,41,9682
6378,30000,2,3,2,26,27594
6379,120000,1,1,2,34,650
6380,70000,2,2,1,27,25773
6381,150000,1,2,1,32,141346
6382,210000,2,2,1,42,0
6383,80000,2,2,1,30,82891
6384,90000,1,2,2,29,86294
6385,20000,2,2,2,22,17807
6386,240000,2,1,2,36,0
6387,50000,1,2,2,29,30117
6388,250000,2,1,2,28,273927
6389,280000,2,1,2,31,0
6390,10000,1,3,0,40,8286
6391,150000,2,2,2,33,46006
6392,330000,2,2,1,47,0
6393,240000,1,1,2,30,5354
6394,130000,2,2,2,34,42063
6395,450000,1,1,2,37,16259
6396,50000,1,1,2,26,526
6397,70000,2,3,1,24,68083
6398,80000,1,2,2,26,33490
6399,50000,1,1,2,24,236
6400,30000,1,3,1,33,29742
6401,50000,1,2,2,23,48025
6402,70000,1,2,1,29,68540
6403,50000,2,2,2,33,14720
6404,1.00E+05,2,3,2,27,53423
6405,2.00E+05,2,2,2,24,39723
6406,180000,1,1,2,38,3999
6407,240000,2,1,2,38,6916
6408,90000,2,3,1,35,35077
6409,50000,2,2,2,33,16926
6410,80000,1,2,2,48,74658
6411,210000,2,1,1,43,0
6412,350000,1,3,1,41,349125
6413,160000,1,2,2,45,131895
6414,70000,1,1,2,33,66874
6415,140000,2,1,1,33,0
6416,80000,1,2,1,47,52690
6417,110000,2,2,1,39,110109
6418,50000,1,2,2,25,17355
6419,30000,1,1,1,38,27429
6420,30000,2,2,2,27,28392
6421,2.00E+05,1,2,2,33,80012
6422,290000,2,2,2,28,133789
6423,220000,1,1,2,34,29549
6424,180000,1,1,2,28,9853
6425,5.00E+05,1,3,1,38,74223
6426,210000,1,2,1,39,7128
6427,1.00E+05,2,1,2,24,100016
6428,1.00E+05,2,2,2,23,8002
6429,130000,2,2,2,25,138910
6430,10000,1,2,2,21,9042
6431,50000,1,2,2,35,780
6432,240000,1,1,1,37,191748
6433,20000,2,3,1,53,12237
